LETTER,WORD
a,alma
a,autó
a,ablak
á,ásó
á,ágy
b,banán
b,bicikli
b,bili
c,citrom
c,ceruza
c,cica
cs,csiga
cs,csap
cs,csibe
d,dió
d,dob
d,dinnye
e,eper
e,egér
é,égő
f,fa
f,fúró
f,fagyi
g,gumicukor
g,golyó
gy,gyerek
gy,gyík
h,hinta
h,ház
h,hó
i,innivaló
i,iskola
í,ír
j,játék
j,jegesmedve
k,kenyér
k,körte
k,kakas
l,liba
l,létra
ly,lyuk
m,mókus
m,makk
m,mászóka
n,nadrág
n,napocska
ny,nyalóka
ny,nyuszi
ny,nyaklánc
o,olló
o,orr
ó,óra
ó,ól
ö,ököl
ö,öv
ő,őzike
ő,ősz
p,póló
p,pingvin
p,pipa
r,répa
r,rák
s,síelés
s,seprű
s,sapka
sz,szánkó
sz,szilva
sz,szemüveg
t,teknős
t,teve
ty,tyúk
u,uborka
u,ugrálóvár
ú,út
ú,úszó
ü,üveg
ü,ülés
ű,űrhajó
ű,űrállomás
x,xilofon
v,váza
v,villa
z,zokni
z,zászló
z,zongora
zs,zsírkréta
zs,zsiráf